[10Jun2026 17:38:35.167] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.showPlayerAnimations was corrected from null to its default, true. 
[10Jun2026 17:38:35.168] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.showPlayerAnimation_Typing was corrected from null to its default, true. 
[10Jun2026 17:38:35.168] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.showPlayerAnimation_Idle was corrected from null to its default, true. 
[10Jun2026 17:38:35.168] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.showPlayerAnimation_Gui was corrected from null to its default, true. 
[10Jun2026 17:38:35.168] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.showPlayerActiveNonChatGui was corrected from null to its default, true. 
[10Jun2026 17:38:35.168] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.showPlayerActiveChatGui was corrected from null to its default, true. 
[10Jun2026 17:38:35.168] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.screenTypingVisible was corrected from null to its default, true. 
[10Jun2026 17:38:35.168] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.playScreenOpenSounds was corrected from null to its default, true. 
[10Jun2026 17:38:35.168] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.playMouseClickSounds was corrected from null to its default, true. 
[10Jun2026 17:38:35.170] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/Bozz-SV4/servidor_minecraft/config/watut-client.toml is not correct. Correcting
[10Jun2026 17:38:35.171] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general was corrected from null to its default, SimpleCommentedConfig:{}. 
[10Jun2026 17:38:35.171] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.dummySetting was corrected from null to its default, true. 
[10Jun2026 17:38:35.171] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.sendMouseInfo was corrected from null to its default, true. 
[10Jun2026 17:38:35.171] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.sendTypingSpeed was corrected from null to its default, true. 
[10Jun2026 17:38:35.171] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.sendActiveGui was corrected from null to its default, true. 
[10Jun2026 17:38:35.171] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.sendIdleState was corrected from null to its default, true. 
[10Jun2026 17:38:35.172] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.showIdleStatesInPlayerList was corrected from null to its default, true. 
[10Jun2026 17:38:35.172] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.showIdleStatesInPlayerAboveHead was corrected from null to its default, true. 
[10Jun2026 17:38:35.172] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.showPlayerAnimations was corrected from null to its default, true. 
[10Jun2026 17:38:35.172] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.showPlayerAnimation_Typing was corrected from null to its default, true. 
[10Jun2026 17:38:35.172] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.showPlayerAnimation_Idle was corrected from null to its default, true. 
[10Jun2026 17:38:35.172] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.showPlayerAnimation_Gui was corrected from null to its default, true. 
[10Jun2026 17:38:35.172] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.showPlayerActiveNonChatGui was corrected from null to its default, true. 
[10Jun2026 17:38:35.173] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.showPlayerActiveChatGui was corrected from null to its default, true. 
[10Jun2026 17:38:35.173] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.showPlayerActiveGuiIfNotExactMatch was corrected from null to its default, true. 
[10Jun2026 17:38:35.173] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.screenTypingVisible was corrected from null to its default, true. 
[10Jun2026 17:38:35.173] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.screenTypingRelativePosition_X was corrected from null to its default, 0. 
[10Jun2026 17:38:35.173] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.screenTypingRelativePosition_Y was corrected from null to its default, 0. 
[10Jun2026 17:38:35.173] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.screenTypingCharacterLimit was corrected from null to its default, 50. 
[10Jun2026 17:38:35.173] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.screenTypingMultiplePlayersText was corrected from null to its default, Several people are typing. 
[10Jun2026 17:38:35.173] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.screenTypingText was corrected from null to its default,  is typing. 
[10Jun2026 17:38:35.173] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.playScreenOpenSounds was corrected from null to its default, true. 
[10Jun2026 17:38:35.173] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.playMouseClickSounds was corrected from null to its default, true. 
[10Jun2026 17:38:35.174] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.particleSizeScale was corrected from null to its default, 1.0. 
[10Jun2026 17:38:35.174] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.tickReceiveAndRenderRateOfGUIUpdates was corrected from null to its default, 10. 
[10Jun2026 17:38:35.174] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.dontSendDetailedGUIInfo was corrected from null to its default, false. 
[10Jun2026 17:38:35.174] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.dontSendItemInfo was corrected from null to its default, false. 
[10Jun2026 17:38:35.179] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/Bozz-SV4/servidor_minecraft/config/farmersdelight-common.toml is not correct. Correcting
[10Jun2026 17:38:35.179] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key settings was corrected from null to its default, SimpleCommentedConfig:{}. 
[10Jun2026 17:38:35.179] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key settings.enableFarmerFDTrades was corrected from null to its default, true. 
[10Jun2026 17:38:35.179] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key settings.enableWanderingTraderFDTrades was corrected from null to its default, true. 
[10Jun2026 17:38:35.179] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key settings.enableRopeReeling was corrected from null to its default, true. 
[10Jun2026 17:38:35.180] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key settings.canvasSignDarkBackgroundList was corrected from null to its default, [gray, purple, blue, brown, green, red, black]. 
[10Jun2026 17:38:35.185] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key farming was corrected from null to its default, SimpleCommentedConfig:{}. 
[10Jun2026 17:38:35.185] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key farming.richSoilBoostChance was corrected from null to its default, 0.2. 
[10Jun2026 17:38:35.185] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key farming.enableTomatoVineClimbingTaggedRopes was corrected from null to its default, true. 
[10Jun2026 17:38:35.185] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key farming.defaultTomatoVineRope was corrected from null to its default, farmersdelight:rope. 
[10Jun2026 17:38:35.188] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key crafting was corrected from null to its default, SimpleCommentedConfig:{}. 
[10Jun2026 17:38:35.188] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key crafting.enableCookingPotRecipeBook was corrected from null to its default, true. 
[10Jun2026 17:38:35.188] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key crafting.enableVanillaCropCrates was corrected from null to its default, true. 
[10Jun2026 17:38:35.188] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key crafting.cuttingBoardFortuneBonus was corrected from null to its default, 0.1. 
